UNIT,YEAR,SEX,RACE,AGE,ESTIMATE
"Deaths per 100,000 resident population, crude",2016,Male,Asian or Pacific Islander,45-64 years,11.8
"Deaths per 100,000 resident population, crude",2017,Male,Asian or Pacific Islander,45-64 years,11
"Deaths per 100,000 resident population, crude",2018,Male,Asian or Pacific Islander,45-64 years,12.2
"Deaths per 100,000 resident population, crude",1980,Male,Asian or Pacific Islander,65 years and over,18.6
"Deaths per 100,000 resident population, crude",1985,Male,Asian or Pacific Islander,65 years and over,16.7
"Deaths per 100,000 resident population, crude",1988,Male,Asian or Pacific Islander,65 years and over,15.4
"Deaths per 100,000 resident population, crude",1989,Male,Asian or Pacific Islander,65 years and over,19.2
"Deaths per 100,000 resident population, crude",1990,Male,Asian or Pacific Islander,65 years and over,16.8
"Deaths per 100,000 resident population, crude",1991,Male,Asian or Pacific Islander,65 years and over,20.1
"Deaths per 100,000 resident population, crude",1992,Male,Asian or Pacific Islander,65 years and over,16.7
"Deaths per 100,000 resident population, crude",1993,Male,Asian or Pacific Islander,65 years and over,18.4
"Deaths per 100,000 resident population, crude",1994,Male,Asian or Pacific Islander,65 years and over,17.4
"Deaths per 100,000 resident population, crude",1995,Male,Asian or Pacific Islander,65 years and over,18.9
"Deaths per 100,000 resident population, crude",1996,Male,Asian or Pacific Islander,65 years and over,15.5
"Deaths per 100,000 resident population, crude",1997,Male,Asian or Pacific Islander,65 years and over,20
"Deaths per 100,000 resident population, crude",1998,Male,Asian or Pacific Islander,65 years and over,20.4
"Deaths per 100,000 resident population, crude",1999,Male,Asian or Pacific Islander,65 years and over,13.4
"Deaths per 100,000 resident population, crude",2000,Male,Asian or Pacific Islander,65 years and over,15.4
"Deaths per 100,000 resident population, crude",2001,Male,Asian or Pacific Islander,65 years and over,18.4
"Deaths per 100,000 resident population, crude",2002,Male,Asian or Pacific Islander,65 years and over,14.5
"Deaths per 100,000 resident population, crude",2003,Male,Asian or Pacific Islander,65 years and over,17.7
"Deaths per 100,000 resident population, crude",2004,Male,Asian or Pacific Islander,65 years and over,15.3
"Deaths per 100,000 resident population, crude",2005,Male,Asian or Pacific Islander,65 years and over,11.2
"Deaths per 100,000 resident population, crude",2006,Male,Asian or Pacific Islander,65 years and over,10.8
"Deaths per 100,000 resident population, crude",2007,Male,Asian or Pacific Islander,65 years and over,13.1
"Deaths per 100,000 resident population, crude",2008,Male,Asian or Pacific Islander,65 years and over,14.8
"Deaths per 100,000 resident population, crude",2009,Male,Asian or Pacific Islander,65 years and over,15.3
"Deaths per 100,000 resident population, crude",2010,Male,Asian or Pacific Islander,65 years and over,14.9
"Deaths per 100,000 resident population, crude",2011,Male,Asian or Pacific Islander,65 years and over,13.3
"Deaths per 100,000 resident population, crude",2012,Male,Asian or Pacific Islander,65 years and over,12.9
"Deaths per 100,000 resident population, crude",2013,Male,Asian or Pacific Islander,65 years and over,10.9
"Deaths per 100,000 resident population, crude",2014,Male,Asian or Pacific Islander,65 years and over,11.6
"Deaths per 100,000 resident population, crude",2015,Male,Asian or Pacific Islander,65 years and over,12.6
"Deaths per 100,000 resident population, crude",2016,Male,Asian or Pacific Islander,65 years and over,12.1
"Deaths per 100,000 resident population, crude",2017,Male,Asian or Pacific Islander,65 years and over,12.5
"Deaths per 100,000 resident population, crude",2018,Male,Asian or Pacific Islander,65 years and over,13.3
"Deaths per 100,000 resident population, crude",1950,Female,White,15-24 years,2.7
"Deaths per 100,000 resident population, crude",1960,Female,White,15-24 years,2.3
"Deaths per 100,000 resident population, crude",1970,Female,White,15-24 years,4.2
"Deaths per 100,000 resident population, crude",1980,Female,White,15-24 years,4.6
"Deaths per 100,000 resident population, crude",1981,Female,White,15-24 years,4.9
"Deaths per 100,000 resident population, crude",1982,Female,White,15-24 years,4.5
"Deaths per 100,000 resident population, crude",1983,Female,White,15-24 years,4.5
"Deaths per 100,000 resident population, crude",1984,Female,White,15-24 years,4.7
"Deaths per 100,000 resident population, crude",1985,Female,White,15-24 years,4.7
"Deaths per 100,000 resident population, crude",1986,Female,White,15-24 years,4.7
"Deaths per 100,000 resident population, crude",1987,Female,White,15-24 years,4.6
"Deaths per 100,000 resident population, crude",1988,Female,White,15-24 years,4.5
"Deaths per 100,000 resident population, crude",1989,Female,White,15-24 years,4.3
"Deaths per 100,000 resident population, crude",1990,Female,White,15-24 years,4.2
"Deaths per 100,000 resident population, crude",1991,Female,White,15-24 years,4.2
"Deaths per 100,000 resident population, crude",1992,Female,White,15-24 years,3.8
"Deaths per 100,000 resident population, crude",1993,Female,White,15-24 years,4.3
"Deaths per 100,000 resident population, crude",1994,Female,White,15-24 years,3.7
"Deaths per 100,000 resident population, crude",1995,Female,White,15-24 years,3.8
"Deaths per 100,000 resident population, crude",1996,Female,White,15-24 years,3.7
"Deaths per 100,000 resident population, crude",1997,Female,White,15-24 years,3.6
"Deaths per 100,000 resident population, crude",1998,Female,White,15-24 years,3.4
"Deaths per 100,000 resident population, crude",1999,Female,White,15-24 years,3.2
"Deaths per 100,000 resident population, crude",2000,Female,White,15-24 years,3.1
"Deaths per 100,000 resident population, crude",2001,Female,White,15-24 years,3.1
"Deaths per 100,000 resident population, crude",2002,Female,White,15-24 years,3.1
"Deaths per 100,000 resident population, crude",2003,Female,White,15-24 years,3.1
"Deaths per 100,000 resident population, crude",2004,Female,White,15-24 years,3.8
"Deaths per 100,000 resident population, crude",2005,Female,White,15-24 years,3.7
"Deaths per 100,000 resident population, crude",2006,Female,White,15-24 years,3.4
"Deaths per 100,000 resident population, crude",2007,Female,White,15-24 years,3.4
"Deaths per 100,000 resident population, crude",2008,Female,White,15-24 years,3.6
"Deaths per 100,000 resident population, crude",2009,Female,White,15-24 years,3.8
"Deaths per 100,000 resident population, crude",2010,Female,White,15-24 years,4.2
"Deaths per 100,000 resident population, crude",2011,Female,White,15-24 years,4.4
"Deaths per 100,000 resident population, crude",2012,Female,White,15-24 years,4.6
"Deaths per 100,000 resident population, crude",2013,Female,White,15-24 years,5
"Deaths per 100,000 resident population, crude",2014,Female,White,15-24 years,5
"Deaths per 100,000 resident population, crude",2015,Female,White,15-24 years,5.6
"Deaths per 100,000 resident population, crude",2016,Female,White,15-24 years,5.5
"Deaths per 100,000 resident population, crude",2017,Female,White,15-24 years,5.9
"Deaths per 100,000 resident population, crude",2018,Female,White,15-24 years,6
"Deaths per 100,000 resident population, crude",1950,Female,White,25-44 years,6.6
"Deaths per 100,000 resident population, crude",1960,Female,White,25-44 years,7
"Deaths per 100,000 resident population, crude",1970,Female,White,25-44 years,11
"Deaths per 100,000 resident population, crude",1980,Female,White,25-44 years,8.1
"Deaths per 100,000 resident population, crude",1981,Female,White,25-44 years,8.5
"Deaths per 100,000 resident population, crude",1982,Female,White,25-44 years,8.2
"Deaths per 100,000 resident population, crude",1983,Female,White,25-44 years,7.6
"Deaths per 100,000 resident population, crude",1984,Female,White,25-44 years,7.4
"Deaths per 100,000 resident population, crude",1985,Female,White,25-44 years,7
"Deaths per 100,000 resident population, crude",1986,Female,White,25-44 years,7.2
"Deaths per 100,000 resident population, crude",1987,Female,White,25-44 years,7.1
"Deaths per 100,000 resident population, crude",1988,Female,White,25-44 years,6.8
"Deaths per 100,000 resident population, crude",1989,Female,White,25-44 years,6.6
"Deaths per 100,000 resident population, crude",1990,Female,White,25-44 years,6.6
"Deaths per 100,000 resident population, crude",1991,Female,White,25-44 years,6.4
"Deaths per 100,000 resident population, crude",1992,Female,White,25-44 years,6.3
"Deaths per 100,000 resident population, crude",1993,Female,White,25-44 years,6.3
"Deaths per 100,000 resident population, crude",1994,Female,White,25-44 years,6.4
"Deaths per 100,000 resident population, crude",1995,Female,White,25-44 years,6.3
"Deaths per 100,000 resident population, crude",1996,Female,White,25-44 years,6.3
"Deaths per 100,000 resident population, crude",1997,Female,White,25-44 years,6.5
"Deaths per 100,000 resident population, crude",1998,Female,White,25-44 years,6.5
"Deaths per 100,000 resident population, crude",1999,Female,White,25-44 years,6.2
"Deaths per 100,000 resident population, crude",2000,Female,White,25-44 years,6
"Deaths per 100,000 resident population, crude",2001,Female,White,25-44 years,6.2
"Deaths per 100,000 resident population, crude",2002,Female,White,25-44 years,6.6
"Deaths per 100,000 resident population, crude",2003,Female,White,25-44 years,6.4
"Deaths per 100,000 resident population, crude",2004,Female,White,25-44 years,6.7
"Deaths per 100,000 resident population, crude",2005,Female,White,25-44 years,6.6
"Deaths per 100,000 resident population, crude",2006,Female,White,25-44 years,6.9
"Deaths per 100,000 resident population, crude",2007,Female,White,25-44 years,7
"Deaths per 100,000 resident population, crude",2008,Female,White,25-44 years,7.2
"Deaths per 100,000 resident population, crude",2009,Female,White,25-44 years,7.1
"Deaths per 100,000 resident population, crude",2010,Female,White,25-44 years,7.3
"Deaths per 100,000 resident population, crude",2011,Female,White,25-44 years,7.7
"Deaths per 100,000 resident population, crude",2012,Female,White,25-44 years,7.8
"Deaths per 100,000 resident population, crude",2013,Female,White,25-44 years,7.9
"Deaths per 100,000 resident population, crude",2014,Female,White,25-44 years,8.4
"Deaths per 100,000 resident population, crude",2015,Female,White,25-44 years,8.7
"Deaths per 100,000 resident population, crude",2016,Female,White,25-44 years,8.8
"Deaths per 100,000 resident population, crude",2017,Female,White,25-44 years,8.9
"Deaths per 100,000 resident population, crude",2018,Female,White,25-44 years,9
"Deaths per 100,000 resident population, crude",1950,Female,White,45-64 years,10.6
"Deaths per 100,000 resident population, crude",1960,Female,White,45-64 years,10.9
"Deaths per 100,000 resident population, crude",1970,Female,White,45-64 years,13
"Deaths per 100,000 resident population, crude",1980,Female,White,45-64 years,9.6
"Deaths per 100,000 resident population, crude",1981,Female,White,45-64 years,10.2
"Deaths per 100,000 resident population, crude",1982,Female,White,45-64 years,10
"Deaths per 100,000 resident population, crude",1983,Female,White,45-64 years,9.5
"Deaths per 100,000 resident population, crude",1984,Female,White,45-64 years,9.6
"Deaths per 100,000 resident population, crude",1985,Female,White,45-64 years,8.7
"Deaths per 100,000 resident population, crude",1986,Female,White,45-64 years,9.4
"Deaths per 100,000 resident population, crude",1987,Female,White,45-64 years,8.9
"Deaths per 100,000 resident population, crude",1988,Female,White,45-64 years,8.3
"Deaths per 100,000 resident population, crude",1989,Female,White,45-64 years,8
"Deaths per 100,000 resident population, crude",1990,Female,White,45-64 years,7.7
"Deaths per 100,000 resident population, crude",1991,Female,White,45-64 years,7.8
"Deaths per 100,000 resident population, crude",1992,Female,White,45-64 years,7.5
"Deaths per 100,000 resident population, crude",1993,Female,White,45-64 years,7.3
"Deaths per 100,000 resident population, crude",1994,Female,White,45-64 years,6.9
"Deaths per 100,000 resident population, crude",1995,Female,White,45-64 years,6.7
"Deaths per 100,000 resident population, crude",1996,Female,White,45-64 years,6.9
"Deaths per 100,000 resident population, crude",1997,Female,White,45-64 years,7.1
"Deaths per 100,000 resident population, crude",1998,Female,White,45-64 years,7
"Deaths per 100,000 resident population, crude",1999,Female,White,45-64 years,6.7
"Deaths per 100,000 resident population, crude",2000,Female,White,45-64 years,6.9
"Deaths per 100,000 resident population, crude",2001,Female,White,45-64 years,7.4
"Deaths per 100,000 resident population, crude",2002,Female,White,45-64 years,7.5
"Deaths per 100,000 resident population, crude",2003,Female,White,45-64 years,7.8
"Deaths per 100,000 resident population, crude",2004,Female,White,45-64 years,8.5
"Deaths per 100,000 resident population, crude",2005,Female,White,45-64 years,8.1
"Deaths per 100,000 resident population, crude",2006,Female,White,45-64 years,8.8
"Deaths per 100,000 resident population, crude",2007,Female,White,45-64 years,9.3
"Deaths per 100,000 resident population, crude",2008,Female,White,45-64 years,9.4
"Deaths per 100,000 resident population, crude",2009,Female,White,45-64 years,9.6
"Deaths per 100,000 resident population, crude",2010,Female,White,45-64 years,9.9
"Deaths per 100,000 resident population, crude",2011,Female,White,45-64 years,10.2
"Deaths per 100,000 resident population, crude",2012,Female,White,45-64 years,10.6
"Deaths per 100,000 resident population, crude",2013,Female,White,45-64 years,10.9
"Deaths per 100,000 resident population, crude",2014,Female,White,45-64 years,11.5
"Deaths per 100,000 resident population, crude",2015,Female,White,45-64 years,11.9
"Deaths per 100,000 resident population, crude",2016,Female,White,45-64 years,11.6
"Deaths per 100,000 resident population, crude",2017,Female,White,45-64 years,11.3
"Deaths per 100,000 resident population, crude",2018,Female,White,45-64 years,11.5
"Deaths per 100,000 resident population, crude",1950,Female,White,65 years and over,9.9
"Deaths per 100,000 resident population, crude",1960,Female,White,65 years and over,8.8
"Deaths per 100,000 resident population, crude",1970,Female,White,65 years and over,8.5
"Deaths per 100,000 resident population, crude",1980,Female,White,65 years and over,6.4
"Deaths per 100,000 resident population, crude",1981,Female,White,65 years and over,6.3
"Deaths per 100,000 resident population, crude",1982,Female,White,65 years and over,6.6
"Deaths per 100,000 resident population, crude",1983,Female,White,65 years and over,7.2
"Deaths per 100,000 resident population, crude",1984,Female,White,65 years and over,7.2
"Deaths per 100,000 resident population, crude",1985,Female,White,65 years and over,6.9
"Deaths per 100,000 resident population, crude",1986,Female,White,65 years and over,7.4
"Deaths per 100,000 resident population, crude",1987,Female,White,65 years and over,7.2
"Deaths per 100,000 resident population, crude",1988,Female,White,65 years and over,7
"Deaths per 100,000 resident population, crude",1989,Female,White,65 years and over,6.3
"Deaths per 100,000 resident population, crude",1990,Female,White,65 years and over,6.8
"Deaths per 100,000 resident population, crude",1991,Female,White,65 years and over,6.3
"Deaths per 100,000 resident population, crude",1992,Female,White,65 years and over,6.4
"Deaths per 100,000 resident population, crude",1993,Female,White,65 years and over,6.1
"Deaths per 100,000 resident population, crude",1994,Female,White,65 years and over,5.8
"Deaths per 100,000 resident population, crude",1995,Female,White,65 years and over,5.7
"Deaths per 100,000 resident population, crude",1996,Female,White,65 years and over,4.9
"Deaths per 100,000 resident population, crude",1997,Female,White,65 years and over,5
"Deaths per 100,000 resident population, crude",1998,Female,White,65 years and over,5
"Deaths per 100,000 resident population, crude",1999,Female,White,65 years and over,4.6
"Deaths per 100,000 resident population, crude",2000,Female,White,65 years and over,4.3
"Deaths per 100,000 resident population, crude",2001,Female,White,65 years and over,4.1
"Deaths per 100,000 resident population, crude",2002,Female,White,65 years and over,4.3
"Deaths per 100,000 resident population, crude",2003,Female,White,65 years and over,4
"Deaths per 100,000 resident population, crude",2004,Female,White,65 years and over,4
"Deaths per 100,000 resident population, crude",2005,Female,White,65 years and over,4.2
"Deaths per 100,000 resident population, crude",2006,Female,White,65 years and over,4.1
"Deaths per 100,000 resident population, crude",2007,Female,White,65 years and over,4.2
"Deaths per 100,000 resident population, crude",2008,Female,White,65 years and over,4.4
"Deaths per 100,000 resident population, crude",2009,Female,White,65 years and over,4.4
"Deaths per 100,000 resident population, crude",2010,Female,White,65 years and over,4.5
"Deaths per 100,000 resident population, crude",2011,Female,White,65 years and over,4.8
"Deaths per 100,000 resident population, crude",2012,Female,White,65 years and over,4.9
"Deaths per 100,000 resident population, crude",2013,Female,White,65 years and over,5.1
"Deaths per 100,000 resident population, crude",2014,Female,White,65 years and over,5.5
"Deaths per 100,000 resident population, crude",2015,Female,White,65 years and over,5.6
"Deaths per 100,000 resident population, crude",2016,Female,White,65 years and over,5.8
"Deaths per 100,000 resident population, crude",2017,Female,White,65 years and over,5.8
"Deaths per 100,000 resident population, crude",2018,Female,White,65 years and over,5.9
"Deaths per 100,000 resident population, crude",1950,Female,Black or African American,15-24 years,1.8
"Deaths per 100,000 resident population, crude",1970,Female,Black or African American,15-24 years,3.8
"Deaths per 100,000 resident population, crude",1980,Female,Black or African American,15-24 years,2.3
"Deaths per 100,000 resident population, crude",1981,Female,Black or African American,15-24 years,2.4
"Deaths per 100,000 resident population, crude",1982,Female,Black or African American,15-24 years,2.3
"Deaths per 100,000 resident population, crude",1983,Female,Black or African American,15-24 years,2.7
"Deaths per 100,000 resident population, crude",1984,Female,Black or African American,15-24 years,2.4
"Deaths per 100,000 resident population, crude",1985,Female,Black or African American,15-24 years,2
"Deaths per 100,000 resident population, crude",1986,Female,Black or African American,15-24 years,2.3
"Deaths per 100,000 resident population, crude",1987,Female,Black or African American,15-24 years,2.5
"Deaths per 100,000 resident population, crude",1988,Female,Black or African American,15-24 years,2.6
"Deaths per 100,000 resident population, crude",1989,Female,Black or African American,15-24 years,2.9
"Deaths per 100,000 resident population, crude",1990,Female,Black or African American,15-24 years,2.3
"Deaths per 100,000 resident population, crude",1991,Female,Black or African American,15-24 years,1.6
"Deaths per 100,000 resident population, crude",1992,Female,Black or African American,15-24 years,2.1
"Deaths per 100,000 resident population, crude",1993,Female,Black or African American,15-24 years,2.6
"Deaths per 100,000 resident population, crude",1994,Female,Black or African American,15-24 years,2.7
"Deaths per 100,000 resident population, crude",1995,Female,Black or African American,15-24 years,2.2
"Deaths per 100,000 resident population, crude",1996,Female,Black or African American,15-24 years,2.2
"Deaths per 100,000 resident population, crude",1997,Female,Black or African American,15-24 years,2.3
"Deaths per 100,000 resident population, crude",1998,Female,Black or African American,15-24 years,2.2
"Deaths per 100,000 resident population, crude",1999,Female,Black or African American,15-24 years,1.9
"Deaths per 100,000 resident population, crude",2000,Female,Black or African American,15-24 years,2.2
"Deaths per 100,000 resident population, crude",2001,Female,Black or African American,15-24 years,1.2
"Deaths per 100,000 resident population, crude",2002,Female,Black or African American,15-24 years,1.7
"Deaths per 100,000 resident population, crude",2003,Female,Black or African American,15-24 years,2
"Deaths per 100,000 resident population, crude",2004,Female,Black or African American,15-24 years,2.1
"Deaths per 100,000 resident population, crude",2005,Female,Black or African American,15-24 years,1.7
"Deaths per 100,000 resident population, crude",2006,Female,Black or African American,15-24 years,1.7
"Deaths per 100,000 resident population, crude",2007,Female,Black or African American,15-24 years,1.6
"Deaths per 100,000 resident population, crude",2008,Female,Black or African American,15-24 years,2.4
"Deaths per 100,000 resident population, crude",2009,Female,Black or African American,15-24 years,2.1
"Deaths per 100,000 resident population, crude",2010,Female,Black or African American,15-24 years,2
"Deaths per 100,000 resident population, crude",2011,Female,Black or African American,15-24 years,2.3
"Deaths per 100,000 resident population, crude",2012,Female,Black or African American,15-24 years,2.8
"Deaths per 100,000 resident population, crude",2013,Female,Black or African American,15-24 years,2.6
"Deaths per 100,000 resident population, crude",2014,Female,Black or African American,15-24 years,2.6
"Deaths per 100,000 resident population, crude",2015,Female,Black or African American,15-24 years,3.6
"Deaths per 100,000 resident population, crude",2016,Female,Black or African American,15-24 years,4
"Deaths per 100,000 resident population, crude",2017,Female,Black or African American,15-24 years,4.3
"Deaths per 100,000 resident population, crude",2018,Female,Black or African American,15-24 years,4.2
"Deaths per 100,000 resident population, crude",1950,Female,Black or African American,25-44 years,2.3
"Deaths per 100,000 resident population, crude",1960,Female,Black or African American,25-44 years,3
"Deaths per 100,000 resident population, crude",1970,Female,Black or African American,25-44 years,4.8
"Deaths per 100,000 resident population, crude",1980,Female,Black or African American,25-44 years,4.3
"Deaths per 100,000 resident population, crude",1981,Female,Black or African American,25-44 years,4.4
"Deaths per 100,000 resident population, crude",1982,Female,Black or African American,25-44 years,3.9
"Deaths per 100,000 resident population, crude",1983,Female,Black or African American,25-44 years,3.1
"Deaths per 100,000 resident population, crude",1984,Female,Black or African American,25-44 years,3.4
"Deaths per 100,000 resident population, crude",1985,Female,Black or African American,25-44 years,3.2
"Deaths per 100,000 resident population, crude",1986,Female,Black or African American,25-44 years,3.4
"Deaths per 100,000 resident population, crude",1987,Female,Black or African American,25-44 years,3.5
"Deaths per 100,000 resident population, crude",1988,Female,Black or African American,25-44 years,3.7
"Deaths per 100,000 resident population, crude",1989,Female,Black or African American,25-44 years,3.8
"Deaths per 100,000 resident population, crude",1990,Female,Black or African American,25-44 years,3.8
"Deaths per 100,000 resident population, crude",1991,Female,Black or African American,25-44 years,3.1
"Deaths per 100,000 resident population, crude",1992,Female,Black or African American,25-44 years,3.2
"Deaths per 100,000 resident population, crude",1993,Female,Black or African American,25-44 years,3
"Deaths per 100,000 resident population, crude",1994,Female,Black or African American,25-44 years,3
"Deaths per 100,000 resident population, crude",1995,Female,Black or African American,25-44 years,3.3
"Deaths per 100,000 resident population, crude",1996,Female,Black or African American,25-44 years,2.9
"Deaths per 100,000 resident population, crude",1997,Female,Black or African American,25-44 years,2.6
"Deaths per 100,000 resident population, crude",1998,Female,Black or African American,25-44 years,2.6
"Deaths per 100,000 resident population, crude",1999,Female,Black or African American,25-44 years,2.5
"Deaths per 100,000 resident population, crude",2000,Female,Black or African American,25-44 years,2.6
"Deaths per 100,000 resident population, crude",2001,Female,Black or African American,25-44 years,2.6
"Deaths per 100,000 resident population, crude",2002,Female,Black or African American,25-44 years,2.4
"Deaths per 100,000 resident population, crude",2003,Female,Black or African American,25-44 years,2.8
"Deaths per 100,000 resident population, crude",2004,Female,Black or African American,25-44 years,2.9
"Deaths per 100,000 resident population, crude",2005,Female,Black or African American,25-44 years,2.8
"Deaths per 100,000 resident population, crude",2006,Female,Black or African American,25-44 years,2
"Deaths per 100,000 resident population, crude",2007,Female,Black or African American,25-44 years,2.7
"Deaths per 100,000 resident population, crude",2008,Female,Black or African American,25-44 years,2.5
"Deaths per 100,000 resident population, crude",2009,Female,Black or African American,25-44 years,2.7
"Deaths per 100,000 resident population, crude",2010,Female,Black or African American,25-44 years,2.8
"Deaths per 100,000 resident population, crude",2011,Female,Black or African American,25-44 years,3.1
"Deaths per 100,000 resident population, crude",2012,Female,Black or African American,25-44 years,3.1
"Deaths per 100,000 resident population, crude",2013,Female,Black or African American,25-44 years,2.9
"Deaths per 100,000 resident population, crude",2014,Female,Black or African American,25-44 years,2.9
"Deaths per 100,000 resident population, crude",2015,Female,Black or African American,25-44 years,2.7
"Deaths per 100,000 resident population, crude",2016,Female,Black or African American,25-44 years,3.6
"Deaths per 100,000 resident population, crude",2017,Female,Black or African American,25-44 years,4.2
"Deaths per 100,000 resident population, crude",2018,Female,Black or African American,25-44 years,4.4
"Deaths per 100,000 resident population, crude",1950,Female,Black or African American,45-64 years,2.7
"Deaths per 100,000 resident population, crude",1960,Female,Black or African American,45-64 years,3.1
"Deaths per 100,000 resident population, crude",1970,Female,Black or African American,45-64 years,2.9
"Deaths per 100,000 resident population, crude",1980,Female,Black or African American,45-64 years,2.5
"Deaths per 100,000 resident population, crude",1981,Female,Black or African American,45-64 years,2.7
"Deaths per 100,000 resident population, crude",1982,Female,Black or African American,45-64 years,2.7
"Deaths per 100,000 resident population, crude",1983,Female,Black or African American,45-64 years,2.4
"Deaths per 100,000 resident population, crude",1984,Female,Black or African American,45-64 years,3.4
"Deaths per 100,000 resident population, crude",1985,Female,Black or African American,45-64 years,2.8
"Deaths per 100,000 resident population, crude",1986,Female,Black or African American,45-64 years,3.7
"Deaths per 100,000 resident population, crude",1987,Female,Black or African American,45-64 years,2.1
"Deaths per 100,000 resident population, crude",1988,Female,Black or African American,45-64 years,3.3
"Deaths per 100,000 resident population, crude",1989,Female,Black or African American,45-64 years,2.9
"Deaths per 100,000 resident population, crude",1990,Female,Black or African American,45-64 years,2.9
"Deaths per 100,000 resident population, crude",1991,Female,Black or African American,45-64 years,2.6
"Deaths per 100,000 resident population, crude",1992,Female,Black or African American,45-64 years,2.6
"Deaths per 100,000 resident population, crude",1993,Female,Black or African American,45-64 years,2.4
"Deaths per 100,000 resident population, crude",1994,Female,Black or African American,45-64 years,2.3
"Deaths per 100,000 resident population, crude",1995,Female,Black or African American,45-64 years,2
"Deaths per 100,000 resident population, crude",1996,Female,Black or African American,45-64 years,2.3
"Deaths per 100,000 resident population, crude",1997,Female,Black or African American,45-64 years,2.4
"Deaths per 100,000 resident population, crude",1998,Female,Black or African American,45-64 years,2.2
"Deaths per 100,000 resident population, crude",1999,Female,Black or African American,45-64 years,1.8
"Deaths per 100,000 resident population, crude",2000,Female,Black or African American,45-64 years,2.1
"Deaths per 100,000 resident population, crude",2001,Female,Black or African American,45-64 years,2.6
"Deaths per 100,000 resident population, crude",2002,Female,Black or African American,45-64 years,2.1
"Deaths per 100,000 resident population, crude",2003,Female,Black or African American,45-64 years,2.3
"Deaths per 100,000 resident population, crude",2004,Female,Black or African American,45-64 years,2.2
"Deaths per 100,000 resident population, crude",2005,Female,Black or African American,45-64 years,2.4
"Deaths per 100,000 resident population, crude",2006,Female,Black or African American,45-64 years,1.9
"Deaths per 100,000 resident population, crude",2007,Female,Black or African American,45-64 years,2.2
"Deaths per 100,000 resident population, crude",2008,Female,Black or African American,45-64 years,1.6
"Deaths per 100,000 resident population, crude",2009,Female,Black or African American,45-64 years,2.5
"Deaths per 100,000 resident population, crude",2010,Female,Black or African American,45-64 years,2.1
"Deaths per 100,000 resident population, crude",2011,Female,Black or African American,45-64 years,2
"Deaths per 100,000 resident population, crude",2012,Female,Black or African American,45-64 years,2.4
"Deaths per 100,000 resident population, crude",2013,Female,Black or African American,45-64 years,2.7
"Deaths per 100,000 resident population, crude",2014,Female,Black or African American,45-64 years,2.7
"Deaths per 100,000 resident population, crude",2015,Female,Black or African American,45-64 years,2.6
"Deaths per 100,000 resident population, crude",2016,Female,Black or African American,45-64 years,2.3
"Deaths per 100,000 resident population, crude",2017,Female,Black or African American,45-64 years,2.6
"Deaths per 100,000 resident population, crude",2018,Female,Black or African American,45-64 years,3
"Deaths per 100,000 resident population, crude",2018,Female,Black or African American,45-64 years,5.5
"Deaths per 100,000 resident population, crude",1970,Female,Black or African American,65 years and over,2.6
"Deaths per 100,000 resident population, crude",1981,Female,Black or African American,65 years and over,2.3
"Deaths per 100,000 resident population, crude",1982,Female,Black or African American,65 years and over,1.8
"Deaths per 100,000 resident population, crude",1984,Female,Black or African American,65 years and over,1.8
"Deaths per 100,000 resident population, crude",1985,Female,Black or African American,65 years and over,2.7
"Deaths per 100,000 resident population, crude",1986,Female,Black or African American,65 years and over,2.5
"Deaths per 100,000 resident population, crude",1987,Female,Black or African American,65 years and over,2.2
"Deaths per 100,000 resident population, crude",1988,Female,Black or African American,65 years and over,1.6
"Deaths per 100,000 resident population, crude",1989,Female,Black or African American,65 years and over,1.8
"Deaths per 100,000 resident population, crude",1990,Female,Black or African American,65 years and over,1.9
"Deaths per 100,000 resident population, crude",1991,Female,Black or African American,65 years and over,2
"Deaths per 100,000 resident population, crude",1992,Female,Black or African American,65 years and over,1.8
"Deaths per 100,000 resident population, crude",1993,Female,Black or African American,65 years and over,2.3
"Deaths per 100,000 resident population, crude",1994,Female,Black or African American,65 years and over,2
"Deaths per 100,000 resident population, crude",1995,Female,Black or African American,65 years and over,2.1
"Deaths per 100,000 resident population, crude",1996,Female,Black or African American,65 years and over,2.1
"Deaths per 100,000 resident population, crude",1997,Female,Black or African American,65 years and over,1.6
"Deaths per 100,000 resident population, crude",1998,Female,Black or African American,65 years and over,1.1
"Deaths per 100,000 resident population, crude",1999,Female,Black or African American,65 years and over,1.5
"Deaths per 100,000 resident population, crude",2000,Female,Black or African American,65 years and over,1.3
"Deaths per 100,000 resident population, crude",2001,Female,Black or African American,65 years and over,1.6
"Deaths per 100,000 resident population, crude",2002,Female,Black or African American,65 years and over,1.1
"Deaths per 100,000 resident population, crude",2003,Female,Black or African American,65 years and over,1.4
"Deaths per 100,000 resident population, crude",2005,Female,Black or African American,65 years and over,1.5
"Deaths per 100,000 resident population, crude",2008,Female,Black or African American,65 years and over,1.2
"Deaths per 100,000 resident population, crude",2009,Female,Black or African American,65 years and over,1
"Deaths per 100,000 resident population, crude",2011,Female,Black or African American,65 years and over,1.2
"Deaths per 100,000 resident population, crude",2014,Female,Black or African American,65 years and over,1.3
"Deaths per 100,000 resident population, crude",2015,Female,Black or African American,65 years and over,0.9
"Deaths per 100,000 resident population, crude",2016,Female,Black or African American,65 years and over,1.4
"Deaths per 100,000 resident population, crude",2017,Female,Black or African American,65 years and over,1.3
"Deaths per 100,000 resident population, crude",2018,Female,Black or African American,65 years and over,1.3
